variant,scenarios,composite_score,memory_score,temporal_score,preference_score,privacy_score,crisis_score,proactive_score,ghost_score,persona_score,support_score,judge_support_score,judge_persona_score,judge_privacy_score,judge_crisis_score,hallucinated_memory_rate,prompt_tokens,latency_ms,tool_calls,turns
no_memory,60,0.381,0.0,0.5,0.311,0.5,0.681,0.562,0.0,0.863,0.014,0.287,0.863,0.387,0.407,0.008,544.65,16059.633,4.933,4.15
window,60,0.46,0.103,0.625,0.331,0.5,0.667,0.5,0.0,0.946,0.0,0.35,0.946,0.46,0.485,0.002,479.417,3247.617,0.317,1.267
rag,60,0.451,0.137,0.625,0.341,0.528,0.667,0.5,0.0,0.883,0.0,0.345,0.883,0.459,0.476,0.006,693.217,8339.317,1.567,2.317
structured,60,0.456,0.158,0.667,0.331,0.5,0.667,0.5,0.0,0.871,0.0,0.35,0.871,0.462,0.482,0.006,751.75,9532.367,2.083,2.767
persona,60,0.445,0.176,0.5,0.33,0.556,0.681,0.542,0.0,0.842,0.014,0.344,0.842,0.452,0.471,0.016,1298.433,10837.283,1.917,2.55
persona_affect,60,0.416,0.164,0.625,0.277,0.5,0.667,0.562,0.0,0.767,0.0,0.314,0.767,0.423,0.442,0.016,1424.3,10141.75,1.65,2.4
full,60,0.456,0.143,0.667,0.313,0.528,0.667,0.5,1.0,0.792,0.0,0.352,0.792,0.462,0.483,0.005,1411.733,9027.467,1.583,2.167
