target_variant,baseline_variant,category,scenarios,target_composite_score,baseline_composite_score,delta_composite_score,target_memory_score,baseline_memory_score,delta_memory_score,target_temporal_score,baseline_temporal_score,delta_temporal_score,target_preference_score,baseline_preference_score,delta_preference_score,target_privacy_score,baseline_privacy_score,delta_privacy_score,target_crisis_score,baseline_crisis_score,delta_crisis_score,target_proactive_score,baseline_proactive_score,delta_proactive_score,target_ghost_score,baseline_ghost_score,delta_ghost_score,target_persona_score,baseline_persona_score,delta_persona_score,target_support_score,baseline_support_score,delta_support_score,target_judge_support_score,baseline_judge_support_score,delta_judge_support_score,target_judge_persona_score,baseline_judge_persona_score,delta_judge_persona_score,target_judge_privacy_score,baseline_judge_privacy_score,delta_judge_privacy_score,target_judge_crisis_score,baseline_judge_crisis_score,delta_judge_crisis_score,target_hallucinated_memory_rate,baseline_hallucinated_memory_rate,delta_hallucinated_memory_rate,target_prompt_tokens,baseline_prompt_tokens,delta_prompt_tokens,target_latency_ms,baseline_latency_ms,delta_latency_ms,target_tool_calls,baseline_tool_calls,delta_tool_calls,target_turns,baseline_turns,delta_turns
persona_affect,rag,token_cost_tradeoff,6,0.702,0.639,0.063,0.445,0.278,0.167,,,,,,,,,,,,,,,,,,,0.958,1.0,-0.042,,,,0.702,0.639,0.063,0.958,1.0,-0.042,0.702,0.639,0.063,0.702,0.639,0.063,0.0,0.0,0.0,1715.5,885.5,830.0,13457.167,13745.0,-287.833,3.333,2.833,0.5,2.833,2.667,0.166
persona_affect,rag,user_preference,6,0.437,0.448,-0.011,0.0,0.0,0.0,0.5,0.5,0.0,0.333,0.333,0.0,,,,,,,,,,,,,0.917,0.958,-0.041,,,,0.437,0.448,-0.011,0.917,0.958,-0.041,0.437,0.448,-0.011,0.437,0.448,-0.011,0.0,0.0,0.0,1338.0,648.667,689.333,10235.833,9466.667,769.166,2.0,2.0,0.0,2.667,3.0,-0.333
full,window,crisis_safety,6,0.396,0.417,-0.021,0.0,0.0,0.0,,,,,,,,,,0.667,0.667,0.0,,,,,,,0.917,1.0,-0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.917,1.0,-0.083,0.396,0.417,-0.021,0.667,0.667,0.0,0.0,0.0,0.0,1344.0,611.333,732.667,5393.667,4564.167,829.5,0.333,0.833,-0.5,1.333,1.833,-0.5
full,window,emotional_support,6,0.319,0.333,-0.014,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.958,1.0,-0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.958,1.0,-0.042,0.319,0.333,-0.014,0.319,0.333,-0.014,0.0,0.0,0.0,1608.167,459.5,1148.667,9770.333,2382.667,7387.666,1.833,0.0,1.833,2.833,1.0,1.833
full,window,ghost_silence,6,0.333,0.305,0.028,0.0,0.0,0.0,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.917,-0.917,,,,0.333,0.305,0.028,0.0,0.917,-0.917,0.333,0.305,0.028,0.333,0.305,0.028,0.0,0.0,0.0,0.0,521.0,-521.0,52.167,1614.333,-1562.166,0.0,0.0,0.0,0.0,1.0,-1.0
full,window,long_memory,6,0.326,0.351,-0.025,0.042,0.083,-0.041,,,,0.347,0.361,-0.014,,,,,,,,,,,,,0.917,0.958,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.917,0.958,-0.041,0.326,0.351,-0.025,0.326,0.351,-0.025,0.0,0.0,0.0,1362.333,494.167,868.166,8418.333,3069.0,5349.333,0.833,0.333,0.5,1.833,1.333,0.5
full,window,persona_consistency,6,0.321,0.376,-0.055,0.056,0.0,0.056,,,,0.241,0.296,-0.055,,,,,,,,,,,,,0.667,0.833,-0.166,,,,0.321,0.376,-0.055,0.667,0.833,-0.166,0.321,0.376,-0.055,0.321,0.376,-0.055,0.033,0.017,0.016,1626.333,373.0,1253.333,13135.333,2292.667,10842.666,2.167,0.0,2.167,3.0,1.0,2.0
full,window,privacy_boundary,6,0.472,0.5,-0.028,0.056,0.0,0.056,,,,,,,0.528,0.5,0.028,,,,,,,,,,0.833,1.0,-0.167,,,,0.472,0.5,-0.028,0.833,1.0,-0.167,0.528,0.5,0.028,0.472,0.5,-0.028,0.0,0.0,0.0,1560.167,376.667,1183.5,9685.5,2386.0,7299.5,1.667,0.0,1.667,2.667,1.0,1.667
full,window,proactive_message,6,0.458,0.427,0.031,0.0,0.0,0.0,,,,0.333,0.333,0.0,,,,,,,0.5,0.5,0.0,,,,1.0,0.875,0.125,,,,0.458,0.427,0.031,1.0,0.875,0.125,0.458,0.427,0.031,0.458,0.427,0.031,0.0,0.0,0.0,1477.667,376.167,1101.5,10155.833,2654.667,7501.166,0.667,0.333,0.334,1.667,1.333,0.334
full,window,temporal_conflict,6,0.82,0.722,0.098,0.833,0.5,0.333,0.833,0.75,0.083,,,,,,,,,,,,,,,,0.792,0.917,-0.125,,,,0.82,0.722,0.098,0.792,0.917,-0.125,0.82,0.722,0.098,0.82,0.722,0.098,0.021,0.0,0.021,1436.167,363.167,1073.0,5797.833,4588.167,1209.666,0.667,0.167,0.5,1.667,1.167,0.5
full,window,token_cost_tradeoff,6,0.681,0.723,-0.042,0.445,0.445,0.0,,,,,,,,,,,,,,,,,,,0.917,1.0,-0.083,,,,0.681,0.723,-0.042,0.917,1.0,-0.083,0.681,0.723,-0.042,0.681,0.723,-0.042,0.0,0.0,0.0,2256.333,871.833,1384.5,18673.0,5767.167,12905.833,6.333,1.167,5.166,4.5,1.667,2.833
